filename,label
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/crotalus-scutulatus/e9cd9e2801.jpg,crotalus-scutulatus
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/rhinocheilus-lecontei/9117b2e4e5.jpg,rhinocheilus-lecontei
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/crotalus-atrox/51cafacb80.jpg,crotalus-atrox
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/pituophis-catenifer/24b96246f8.jpg,pituophis-catenifer
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/pantherophis-emoryi/a4ce92b7aa.jpg,pantherophis-emoryi
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/coluber-constrictor/5da9fab6cc.jpg,coluber-constrictor
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/storeria-dekayi/01e1c2518a.jpg,storeria-dekayi
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/nerodia-erythrogaster/c7b13703c4.jpg,nerodia-erythrogaster
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/crotalus-viridis/357ecfb8ab.jpg,crotalus-viridis
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/masticophis-flagellum/676a16ae98.jpg,masticophis-flagellum
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/crotalus-horridus/9f6e4a1d5e.jpg,crotalus-horridus
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/crotalus-scutulatus/734e6dfdf3.jpg,crotalus-scutulatus
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/storeria-dekayi/31f2cc1001.jpg,storeria-dekayi
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/rhinocheilus-lecontei/ca7a649264.jpg,rhinocheilus-lecontei
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/natrix-natrix/97851c552f.jpg,natrix-natrix
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/thamnophis-proximus/5b4ff7c311.jpg,thamnophis-proximus
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/nerodia-sipedon/f0f3c37e93.jpg,nerodia-sipedon
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/opheodrys-aestivus/719fd70376.jpg,opheodrys-aestivus
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/pantherophis-obsoletus/220bb6b013.jpg,pantherophis-obsoletus
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/coluber-constrictor/ec0c98da79.jpg,coluber-constrictor
D:/Local Disk(D)/EDUCATION/Status Code 1/Snake_SmallModel_BiT_CaTs/input/snake-breed-classification/train/storeria-dekayi/698dd01277.jpg,storeria-dekayi
